CCAA,DELITO,EDAD,SEXO,ANYO,FRECUENCIA
CIUDAD AUTONOMA DE MELILLA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE MELILLA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE MELILLA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE MELILLA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE MELILLA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE MELILLA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE MELILLA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE MELILLA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
ANDALUCIA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,8
ANDALUCIA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,21
ANDALUCIA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,1
ANDALUCIA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,0
ANDALUCIA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,2
ANDALUCIA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,2
ANDALUCIA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,8
ANDALUCIA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,1
